parameters (S),anewarraycount (N),b_count (N),dyn_bb_count (N),dyn_instr_count (N),dyn_method_count (N),fieldloadcount (N),fieldstorecount (N),i (S),i_count (N),lastRequestForParams (S),loadcount (N),m_count (N),metric_value (N),multianewarraycount (N),n1 (N),n2 (N),newarraycount (N),newcount (N),s (S),storecount (N),un (N)
s=BFS un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_03 ,4,0,726086133,1694355671,3956,19920,20,SUDOKU_PUZZLE_16x16_03,0,Mon May 11 14:02:33 CEST 2020,242206924,0,2904664296,1,16,16,0,43,BFS,241991624,256
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_101 ,2,0,119984689,279987163,924,2741,7,SUDOKU_PUZZLE_9x9_101,0,Wed May 13 15:46:03 UTC 2020,40021501,0,479986259,1,9,9,0,22,BFS,39989209,81
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_102 ,2,0,110280573,257343047,883,2617,7,SUDOKU_PUZZLE_9x9_102,0,Wed May 13 15:47:26 UTC 2020,36785248,0,441167237,1,9,9,0,22,BFS,36754837,81
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_103 ,2,0,173798331,405558939,1138,3375,7,SUDOKU_PUZZLE_9x9_103,0,Wed May 13 15:48:51 UTC 2020,57967784,0,695254942,1,9,9,0,22,BFS,57925343,81
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_104 ,2,0,85579618,199705114,796,2424,7,SUDOKU_PUZZLE_9x9_104,0,Wed May 13 15:51:03 UTC 2020,28548365,0,342358245,1,9,9,0,22,BFS,28521896,81
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_105 ,2,0,109398434,255284614,880,2616,7,SUDOKU_PUZZLE_9x9_105,0,Wed May 13 16:05:30 UTC 2020,36491064,0,437638450,1,9,9,0,22,BFS,36460810,81
s=CP un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_01 ,2,0,564621865,1317576947,2716,22171,7,SUDOKU_PUZZLE_16x16_01,0,Wed May 13 15:51:59 UTC 2020,188326249,0,2258733889,1,16,16,0,669,CP,188183262,256
s=CP un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_02 ,2,0,389941851,909950233,2033,15135,7,SUDOKU_PUZZLE_16x16_02,0,Wed May 13 15:54:18 UTC 2020,130061854,0,1559935727,1,16,16,0,471,CP,129964140,256
s=CP un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_03 ,2,0,443759959,1035542949,2425,17629,7,SUDOKU_PUZZLE_16x16_03,0,Wed May 13 15:56:01 UTC 2020,148015622,0,1775239723,1,16,16,0,532,CP,147900597,256
s=CP un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_04 ,2,0,459638976,1072595365,2464,17799,7,SUDOKU_PUZZLE_16x16_04,0,Wed May 13 15:58:32 UTC 2020,153310435,0,1838758798,1,16,16,0,550,CP,153193199,256
s=CP un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_16x16_05 ,2,0,77653506,181228486,2383,6121,7,SUDOKU_PUZZLE_16x16_05,0,Wed May 13 16:01:39 UTC 2020,25918243,0,310685664,1,25,25,0,126,CP,25876789,625
s=CP un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_16x16_06 ,2,0,689910160,1609967035,3900,34532,7,SUDOKU_PUZZLE_16x16_06,0,Wed May 13 16:02:28 UTC 2020,230137909,0,2759990656,1,25,25,0,820,CP,229936290,625
s=CP un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_25x25_01 ,2,0,295559604,689724718,2934,15559,7,SUDOKU_PUZZLE_25x25_01,0,Wed May 13 16:05:57 UTC 2020,98599372,0,1182405894,1,25,25,0,373,CP,98503324,625
s=CP un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_101 ,2,0,104102147,242926333,747,3187,7,SUDOKU_PUZZLE_9x9_101,0,Wed May 13 15:45:54 UTC 2020,34720752,0,416449893,1,9,9,0,140,CP,34696577,81
s=CP un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_102 ,2,0,110277533,257336623,763,3384,7,SUDOKU_PUZZLE_9x9_102,0,Wed May 13 15:47:28 UTC 2020,36780314,0,441153597,1,9,9,0,147,CP,36754823,81
s=CP un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_103 ,2,0,149975769,349971647,865,4248,7,SUDOKU_PUZZLE_9x9_103,0,Wed May 13 15:48:45 UTC 2020,50018869,0,599957988,1,9,9,0,192,CP,49986388,81
s=CP un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_104 ,2,0,101455833,236751935,747,3260,7,SUDOKU_PUZZLE_9x9_104,0,Wed May 13 15:50:33 UTC 2020,33838706,0,405865136,1,9,9,0,137,CP,33814508,81
s=CP un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_105 ,2,0,117334820,273804343,787,3409,7,SUDOKU_PUZZLE_9x9_105,0,Wed May 13 15:51:15 UTC 2020,39133436,0,469384076,1,9,9,0,155,CP,39107116,81
s=DLX un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_101 ,3,0,234810973,552852859,3561,319990,10504,SUDOKU_PUZZLE_9x9_101,0,Wed May 13 15:46:02 UTC 2020,81579159,0,948061126,2,9,9,60,1022,DLX,78482993,81
s=DLX un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_102 ,3,0,234811130,552853896,3569,320178,10598,SUDOKU_PUZZLE_9x9_102,0,Wed May 13 15:48:19 UTC 2020,81579536,0,948063074,2,9,9,60,1030,DLX,78483072,81
s=DLX un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_103 ,3,0,234811430,552855921,3585,320540,10786,SUDOKU_PUZZLE_9x9_103,0,Wed May 13 16:07:51 UTC 2020,81580276,0,948066872,2,9,9,60,1046,DLX,78483223,81
s=BFS un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_01 ,2,0,465835090,1087061910,2954,15189,7,SUDOKU_PUZZLE_16x16_01,0,Wed May 13 16:44:47 UTC 2020,155406540,0,1863573207,1,16,16,0,29,BFS,155251485,256
s=BFS un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_02 ,2,0,1105440718,2579585222,5366,28626,7,SUDOKU_PUZZLE_16x16_02,0,Wed May 13 16:47:55 UTC 2020,368740378,0,4422226784,1,16,16,0,29,BFS,368426435,256
s=BFS un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_03 ,2,0,726086085,1694355402,3938,19920,7,SUDOKU_PUZZLE_16x16_03,0,Wed May 13 16:52:25 UTC 2020,242206858,0,2904663853,1,16,16,0,29,BFS,241991611,256
s=BFS un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_04 ,2,0,586700590,1369105344,3403,18380,7,SUDOKU_PUZZLE_16x16_04,0,Wed May 13 16:56:01 UTC 2020,195723114,0,2347085101,1,16,16,0,29,BFS,195534231,256
s=BFS un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_16x16_05 ,2,0,529356545,1235287094,4637,14531,7,SUDOKU_PUZZLE_16x16_05,0,Wed May 13 16:59:11 UTC 2020,176590848,0,2117676066,1,25,25,0,38,BFS,176422363,625
s=BFS un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_16x16_06 ,2,0,1657820440,3868754581,8891,74036,7,SUDOKU_PUZZLE_16x16_06,0,Wed May 13 17:02:06 UTC 2020,553167847,0,6632319230,1,25,25,0,38,BFS,552493387,625
s=BFS un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_25x25_01 ,2,0,1657820440,3868754581,8891,74036,7,SUDOKU_PUZZLE_25x25_01,0,Wed May 13 17:09:36 UTC 2020,553167847,0,6632319230,1,25,25,0,38,BFS,552493387,625
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_101 ,4,0,119984737,279987432,942,2741,20,SUDOKU_PUZZLE_9x9_101,0,Wed May 13 16:37:23 UTC 2020,40021567,0,479986702,1,9,9,0,36,BFS,39989222,81
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_102 ,2,0,110280573,257343047,883,2617,7,SUDOKU_PUZZLE_9x9_102,0,Wed May 13 16:41:05 UTC 2020,36785248,0,441167237,1,9,9,0,22,BFS,36754837,81
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_103 ,2,0,173798331,405558939,1138,3375,7,SUDOKU_PUZZLE_9x9_103,0,Wed May 13 16:41:48 UTC 2020,57967784,0,695254942,1,9,9,0,22,BFS,57925343,81
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_104 ,2,0,85579618,199705114,796,2424,7,SUDOKU_PUZZLE_9x9_104,0,Wed May 13 16:42:56 UTC 2020,28548365,0,342358245,1,9,9,0,22,BFS,28521896,81
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_105 ,2,0,109398434,255284614,880,2616,7,SUDOKU_PUZZLE_9x9_105,0,Wed May 13 16:43:35 UTC 2020,36491064,0,437638450,1,9,9,0,22,BFS,36460810,81
s=DLX un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_16x16_05 ,3,0,267142566,1444872128,28630,39148005,59057,SUDOKU_PUZZLE_16x16_05,0,Wed May 13 18:48:31 CEST 2020,634526913,0,2514431035,2,25,25,511,7754,DLX,128645466,625
s=DLX un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_04 ,3,0,743248030,1822685509,12895,4912320,34105,SUDOKU_PUZZLE_16x16_04,0,Wed May 13 18:45:20 CEST 2020,306459557,0,3129228573,2,16,16,203,3261,DLX,251872688,256
s=DLX un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_03 ,3,0,743248321,1822687511,12911,4912690,34293,SUDOKU_PUZZLE_16x16_03,0,Wed May 13 18:42:10 CEST 2020,306460288,0,3129232325,2,16,16,203,3277,DLX,251872826,256
s=DLX un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_01 ,3,0,743248471,1822687969,12911,4912704,34293,SUDOKU_PUZZLE_16x16_01,0,Wed May 13 18:36:03 CEST 2020,306460439,0,3129233245,2,16,16,203,3277,DLX,251872973,256
s=DLX un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_02 ,3,0,743248847,1822690820,12935,4913308,34575,SUDOKU_PUZZLE_16x16_02,0,Wed May 13 18:39:07 CEST 2020,306461480,0,3129238589,2,16,16,203,3301,DLX,251873115,256
s=DLX un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_25x25_01 ,3,0,1922791258,5315600188,36765,43129146,81398,SUDOKU_PUZZLE_25x25_01,0,Wed May 13 18:56:31 CEST 2020,1190029929,0,9152440660,2,25,25,512,7766,DLX,680763693,625
s=DLX un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_16x16_06 ,3,0,1922791258,5315600188,36765,43129146,81398,SUDOKU_PUZZLE_16x16_06,0,Wed May 13 18:49:17 CEST 2020,1190029929,0,9152440660,2,25,25,512,7766,DLX,680763693,625
s=DLX un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_104 ,3,0,234810747,552851337,3549,319718,10363,SUDOKU_PUZZLE_9x9_104,0,Wed May 13 18:32:37 CEST 2020,81578603,0,948058271,2,9,9,60,1010,DLX,78482879,81
s=DLX un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_105 ,3,0,234811284,552854922,3577,320362,10692,SUDOKU_PUZZLE_9x9_105,0,Wed May 13 18:33:45 CEST 2020,81579910,0,948065000,2,9,9,60,1038,DLX,78483150,81
s=DLX un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_103 ,5,0,234811478,552856190,3603,320540,10799,SUDOKU_PUZZLE_9x9_103,0,Wed May 13 18:31:24 CEST 2020,81580342,0,948067315,2,9,9,60,1060,DLX,78483236,81
